schedule_date,schedule_season,schedule_week,team_home,team_away,stadium,team_favorite_id,spread_favorite,over_under_line,weather_detail,weather_temperature,weather_wind_mph,weather_humidity,score_home,score_away,stadium_neutral,schedule_playoff,game_id,,,,,
10/30/1966,1966,8,LAR,IND,Los Angeles Memorial Coliseum,,,,64 degrees-  humidity 76%- wind 9 mph,64,9,76,3,17,FALSE,FALSE,19661030INDLAR,,,,,
10/30/1966,1966,8,MIN,SF,Metropolitan Stadium,,,,39 degrees-  humidity 62%- wind 13 mph,39,13,62,28,3,FALSE,FALSE,19661030SFMIN,,,,,
10/30/1966,1966,9,NE,OAK,Alumni Stadium,,,,,,,,24,21,FALSE,FALSE,19661030OAKNE,,,,,
10/30/1966,1966,9,NYJ,BUF,Shea Stadium,,,,,,,,23,33,FALSE,FALSE,19661030BUFNYJ,,,,,
10/30/1966,1966,8,PHI,WAS,Franklin Field,,,,43 degrees-  humidity 42%- wind 13 mph,43,13,42,13,27,FALSE,FALSE,19661030WASPHI,,,,,
10/30/1966,1966,9,LAC,DEN,Balboa Stadium,,,,,,,,24,17,FALSE,FALSE,19661030DENLAC,,,,,
10/31/1966,1966,8,ARI,CHI,Busch Memorial Stadium,,,,53 degrees-  humidity 59%- wind 12 mph,53,12,59,24,17,FALSE,FALSE,19661031CHIARI,,,,,
11/06/1966,1966,9,IND,WAS,Memorial Stadium (Baltimore),,,,47 degrees-  humidity 52%- wind 15 mph,47,15,52,37,10,FALSE,FALSE,19661106WASIND,,,,,
11/06/1966,1966,9,CHI,DET,Wrigley Field,,,,38 degrees-  humidity 73%- wind 11 mph,38,11,73,10,10,FALSE,FALSE,19661106DETCHI,,,,,
11/06/1966,1966,9,GB,MIN,Lambeau Field,,,,31 degrees-  humidity 80%- wind 13 mph- wind chill 21,31,13,80,17,20,FALSE,FALSE,19661106MINGB,,,,,
11/06/1966,1966,10,KC,LAC,Kansas City Municipal Stadium,,,,,,,,24,14,FALSE,FALSE,19661106LACKC,,,,,
